"Province Name(1)",Province Name(2),2019,2020,2021
"Northern Region",Phongsaly,21.6,20.8,20.2
"Northern Region",Luangnamtha,25.3,25.0,24.4
"Northern Region",Oudomxay,24.9,24.6,24.2
"Northern Region",Bokeo,27.5,27.3,26.6
"Northern Region",Luangprabang,26.4,26.4,26.2
"Northern Region",Huaphanh,22.4,21.9,21.6
"Northern Region",Xayaboury,25.8,25.9,25.3
"Central Region",Vientiane Capital,22.7,27.6,21.9
"Central Region",Xiengkhuang,27.9,22.3,27.3
"Central Region",Vientiane,28.3,27.9,27.6
"Central Region",Borikhamxay,28.3,27.6,27.6
"Central Region",Khammuane,28.8,28.4,27.9
"Central Region",Savannakhet,27.6,27.1,26.6
"Central Region",Xaysomboon,22.6,22.7,22.0
"Southern Region",Saravan,27.2,27.2,26.6
"Southern Region",Sekong,26.9,26.9,26.6
"Southern Region",Champasack,28.3,28.2,27.7
"Southern Region",Attapeu,29.7,29.8,29.5
