"Period",Total,EDL and EDL+Gen,IPP
"2010",8448564183,1552284183,6896280000
"2011",12979397974,2082833121,10896564853
"2012",12860291740,1895915833,10964375907
"2013",15505200238,2077815405,13427384833
"2014",15853211409,2009125764,13844085645
"2015",16728659620,2040056028,14688603592
"2016",25066225565,2641995197,22424230368
"2017",31550413938,2976995282,28573418656
"2018",34409959323,3152116593,31257842731
"2019",31133621538,2713812199,28419809339
"2020",39967270164,2821711132,37145559032
"2021",44915288457,2890835145,42024453312
