"Name of  Province(1)",Name of  Province(2),2010,2010,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"Name of  Province(1)",Name of  Province(2),Harvested Area (ha),Production (ton),Harvested Area (ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton),Planted Area (ha),Harvested Area (ha),Yield (ton/ha),Production (ton)
"Total",Sub Summary,15355,818675,24765,1222000,20490,20490,51.52,1055675,14270,14270,60.63,865130,34070,34070,54.02,1840465,36130,36130,55.87,2018655,36180,36180,55.80,2019000,29090,29090,60.65,1764390,22195,22195,49.98,1109360,30160,30160,49.42,1490470
"Northern Region",Sub Summary,4400,238860,4895,254850,4645,4645,48.45,225030,5905,5905,49.90,294650,6060,6060,44.64,270490,7065,7065,49.01,346230,7155,7155,50.66,362470,5785,5785,54.90,317605,7050,7050,45.00,314910,15028,15028,48.00,724834
"Northern Region",Phongsaly,1445,80680,1640,104100,1700,1700,63.97,108750,1695,1695,57.16,96885,1760,1760,61.74,108670,2010,2010,62.01,124650,2010,2010,52.40,105325,1425,1425,64.28,91605,1760,1760,71.99,126710,4650,4650,47.85,222510
"Northern Region",Luangnamtha,2075,120765,2170,126700,2105,2105,46.50,97890,3320,3320,54.82,182000,3235,3235,43.28,140005,3795,3795,49.78,188930,3795,3795,55.32,209930,3095,3095,60.11,186030,4520,4520,39.02,176385,5600,5600,48.30,270453
"Northern Region",Oudomxay,565,32825,585,15770,385,385,25.43,9790,315,315,23.05,7260,475,475,21.75,10330,480,480,24.00,11520,480,480,33.82,16235,480,480,34.24,16435,205,205,19.20,3935,540,540,47.50,25650
"Northern Region",Bokeo,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Northern Region",Luangprabang,60,985,185,4300,90,90,33.22,2990,200,200,17.55,3510,225,225,19.60,4410,400,400,30.30,12120,445,445,38.10,16955,445,445,38.20,17000,125,125,19.76,2470,1880,1880,49.05,92205
"Northern Region",Huaphanh,140,1895,220,2620,200,200,20.50,4100,295,295,13.51,3985,270,270,20.07,5420,280,280,24.52,6865,280,280,34.66,9705,195,195,11.36,2215,195,195,11.36,2215,1055,1055,48.53,51194
"Northern Region",Xayaboury,115,1710,95,1360,165,165,9.15,1510,80,80,12.63,1010,95,95,17.42,1655,100,100,21.45,2145,145,145,29.79,4320,145,145,29.79,4320,245,245,13.04,3195,1303,1303,48.21,62822
"Central Region",Sub Summary,10410,569985,13155,767660,15225,15225,54.04,822770,2770,2770,37.94,105095,15610,15610,57.18,892650,16320,16320,62.09,1013305,16900,16900,60.72,1026090,17155,17155,61.69,1058285,9065,9065,51.13,463485,9052,9052,52.48,475069
"Central Region",Vientiane Capital,120,4860,125,5000,195,195,37.64,7340,105,105,42.10,4420,180,180,42.89,7720,100,100,46.55,4655,205,205,36.83,7550,595,595,18.89,11240,380,380,20.55,7810,855,855,46.34,39624
"Central Region",Xiengkhuang,70,990,110,1610,120,120,10.08,1210,120,120,10.00,1200,60,60,10.33,620,100,100,10.00,1000,155,155,24.42,3785,80,80,9.88,790,80,80,9.88,790,210,210,39.63,8323
"Central Region",Vientiane,310,8700,395,6730,145,145,11.24,1630,210,210,13.45,2825,210,210,22.36,4695,260,260,27.56,7165,160,160,26.03,4165,160,160,26.03,4165,140,140,25.21,353,502,502,48.54,24366
"Central Region",Borikhamxay,620,14635,635,15350,2470,2470,21.18,52310,405,405,29.28,11860,275,275,29.89,8220,250,250,31.04,7760,305,305,30.15,9195,5,5,6.00,30,545,545,26.31,14340,545,545,48.34,26344
"Central Region",Khammuane,1275,39610,40,900,155,155,35.16,5450,380,380,10.08,3830,290,290,20.55,5960,350,350,39.47,13815,350,350,37.47,13115,570,570,40.19,22910,465,465,50.03,23265,690,690,48.12,33203
"Central Region",Savannakhet,8015,501190,11850,738070,-,-,-,-,-,-,-,-,-,-,-,-,15230,15230,64.23,978155,15695,15695,62.92,987525,15695,15695,64.92,1018925,7405,7405,55.84,413525,6200,6200,55.01,341064
"Central Region",Xaysomboon,-,-,-,-,-,-,-,-,-,-,-,-,30,30,25.17,755,30,30,25.17,755,30,30,25.17,755,50,50,4.50,225,50,50,4.50,225,50,50,42.90,2145
"Southern Region",Sub Summary,545,9830,6715,199490,620,620,12.70,7875,5595,5595,83.18,465385,12400,12400,54.62,677325,12745,12745,51.72,659120,12125,12125,52.00,630440,6150,6150,63.17,388500,6080,6080,54.44,330965,6080,6080,47.79,290567
"Southern Region",Saravane,55,1360,220,2810,110,110,17.09,1880,125,125,15.84,1980,70,70,11.36,795,85,85,23.65,2010,110,110,29.64,3260,70,70,14.79,1035,125,125,11.84,1480,125,125,46.96,5870
"Southern Region",Sekong,190,1860,180,2450,450,450,10.53,4740,160,160,18.47,2955,4890,4890,20.21,98830,4945,4945,21.96,108590,5010,5010,30.87,154675,215,215,11.91,2560,215,215,11.91,2560,215,215,45.92,9872
"Southern Region",Champasack,260,5980,235,4310,30,30,15.83,475,240,240,17.48,4195,255,255,17.29,4410,515,515,17.50,9015,515,515,31.23,16085,515,515,20.47,10540,520,520,20.42,10620,520,520,47.73,24820
"Southern Region",Attapeu,40,630,6080,189920,30,30,26.00,780,5070,5070,89.99,456255,7185,7185,79.79,573290,7200,7200,74.93,539505,6490,6490,70.33,456420,5350,5350,69.97,374365,5220,5220,60.59,316305,5220,5220,47.89,250005
